Filename,Author,Touch Count,Week Number
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,Artsem Kurantsou,2,476
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,Artsem Kurantsou,2,476
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.kt,Scott Alexander-Bown,1,307
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,Artsem Kurantsou,1,476
app/src/main/java/com/scottyab/rootbeer/sample/RootSampleApp.kt,Scott Alexander-Bown,1,307
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,Artsem Kurantsou,1,476
app/src/main/java/com/scottyab/rootbeer/sample/ui/RootItemAdapter.kt,Scott Alexander-Bown,1,307
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,grubeli,1,334
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,4,309
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,4,309
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,4,309
app/src/main/java/com/scottyab/rootbeer/sample/CheckForRootWorker.kt,Scott Alexander-Bown,4,307
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,6,309
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,6,194
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,6,92
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,6,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,6,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Matthew Rollings,6,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Scott Alexander-Bown,4,307
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Scott Alexander-Bown,4,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Scott Alexander-Bown,4,1
rootbeerlib/src/main/java/com/scottyab/rootbeer/RootBeerNative.java,Scott Alexander-Bown,4,1
rootbeerlib/src/main/cpp/CMakeLists.txt,Scott Alexander-Bown,1,309
rootbeerlib/src/main/cpp/toolChecker.cpp,Scott Alexander-Bown,1,309
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Scott Alexander-Bown,3,307
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Scott Alexander-Bown,3,54
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Scott Alexander-Bown,3,54
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Matthew Rollings,5,241
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Matthew Rollings,5,194
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Matthew Rollings,5,143
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Matthew Rollings,5,92
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Matthew Rollings,5,86
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Daniel Kutik,1,230
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,altvnv,1,143
app/src/main/java/com/scottyab/rootbeer/sample/CheckRootTask.java,Andy Barber,1,54
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,307
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,92
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,54
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,41
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,12
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Scott Alexander-Bown,9,1
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Matthew Rollings,2,241
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Matthew Rollings,2,92
app/src/main/java/com/scottyab/rootbeer/sample/MainActivity.java,Daniel Kutik,1,230
